"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","8","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","76","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","117","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","76","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","13","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","33","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","19","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","13","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","47","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","19","3","1","47.691673","0","115"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","19","1","1","47.108486","0","184"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","40","4","1","50.593719","0","441"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","45","1","1","215.225922","0","980"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","31","1","1","82.553551","0","190"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","31","4","1","79.237137","0","124"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","8","8","1","19.085690","0","12"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","31","1","0.000000","0","0"
"/Game/Materials/TestMat_red.TestMat_red","0","77","1","1","248.099792","0","3014"
"/Game/Materials/TestMat_blue.TestMat_blue","0","46","1","1","173.857452","0","1010"
"/Game/Materials/TestMat_white.TestMat_white","0","0","19","1","0.000000","0","0"
"/Game/Materials/RoofHoleLight_mat.RoofHoleLight_mat","0","0","8","1","0.000000","0","0"
"/Game/Materials/Black_Fog_mat.Black_Fog_mat","0","0","73","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","52","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","31","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","108","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","82","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","64","1","1","146.847366","0","2143"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","31","1","1","74.787941","0","518"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","31","2","1","73.251335","0","494"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","31","4","1","73.340233","0","472"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","37","1","1","47.797726","0","577"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","31","1","1","75.958473","0","371"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","45","1","1","202.201019","0","780"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","31","1","1","74.296082","0","308"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","31","7","1","40.766766","0","222"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","77","1","1","140.146622","0","957"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","31","1","1","75.945038","0","316"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","31","1","1","76.074867","0","287"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","31","1","1","77.141060","0","237"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","31","1","1","78.205910","0","278"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","31","1","1","79.784988","0","334"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","31","1","1","77.816422","0","297"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","31","1","1","74.276031","0","302"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","93","1","0.000000","0","0"
